2025/10/05 14:40:19 [error] 30#30: *4 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2025/10/05 14:43:50 [error] 31#31: *5 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:50 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:50 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1", host: "localhost"
2025/10/05 14:43:57 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:57 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:57 [error] 31#31: *5 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:57 [error] 31#31: *5 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 31#31: *5 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 31#31: *5 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 34#34: *16 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 34#34: *16 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:58 [error] 34#34: *16 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 34#34: *16 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 35#35: *24 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /assets/image/logo.png HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 32#32: *6 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
2025/10/05 14:43:59 [error] 33#33: *11 open() "/var/www/public-1" failed (2: No such file or directory), client: 172.17.0.1, server: , request: "GET /css/style_login.css HTTP/1.1", host: "localhost", referrer: "http://localhost/"
